simulation_id HasNS HasRemnant HasMassGap
0 0.0 0.0 0.012166666666666666
1 0.7536036660961917 0.0 0.02582085561497326
2 0.0 0.0 0.0
3 0.0 0.0 0.004106583072100313
4 0.0 0.0 0.004106583072100313
5 0.0 0.0 0.061699633699633695
6 0.0 0.0 0.0
7 0.0 0.0 0.0004908151549942595
8 0.0 0.0 0.0026515151515151512
9 0.0 0.0 0.04264138160689884
10 0.0 0.0 0.0
11 0.0 0.0 0.0
12 0.0 0.0 0.0041299748849658105
13 0.0 0.0 0.04264138160689884
14 0.0 0.0 0.0
15 0.0 0.0 0.0
16 0.0 0.0 0.0
17 0.0 0.0 0.0
18 1.0 0.6379634151416802 0.32165476849770824
19 0.0 0.0 0.08690259740259741
20 0.0 0.0 0.0
21 0.0 0.0 0.020185897435897434
22 0.0 0.0 0.0
23 0.0 0.0 0.0
24 0.0 0.0 0.04264138160689884
25 0.0 0.0 0.019761904761904762
26 0.0 0.0 0.04264138160689884
27 0.0 0.0 0.09210600123990215
28 1.0 0.5740480586082989 0.4750767035192633
29 0.0 0.0 0.0
30 0.0 0.0 0.0
31 1.0 1.0 0.002
32 0.0 0.0 0.038534798534798534
33 1.0 0.9893912222656637 0.7051753161471856
34 0.0 0.0 0.0
35 0.0 0.0 0.0
36 0.0 0.0 0.0
37 0.0 0.0 0.0
38 0.0 0.0 0.012106583072100312
39 0.0 0.0 0.016368389780154487
40 1.0 1.0 0.0
41 1.0 0.31500236969637957 0.5506223615634914
42 0.0 0.0 0.0
43 0.0 0.0 0.0
44 0.0 0.0 0.004675625579240037
45 0.0 0.0 0.0
46 0.0 0.0 0.04264138160689884
47 0.0 0.0 0.0
48 0.0 0.0 0.0
49 0.0 0.0 0.004106583072100313
50 0.0 0.0 0.0
51 0.0 0.0 0.0
52 1.0 1.0 0.0
53 0.0 0.0 0.07680858030858032
54 0.0 0.0 0.0
55 0.21022145103234574 0.0 0.27213599010711204
56 0.0 0.0 0.038534798534798534
57 1.0 1.0 0.0
58 0.002005515931106206 0.0 0.15113465241329016
59 0.0 0.0 0.0
60 0.0 0.0 0.0
61 0.0 0.0 0.0
62 1.0 1.0 0.0
63 1.0 1.0 0.0
64 0.0 0.0 0.0
65 0.0 0.0 0.0
66 0.0 0.0 0.008350478122283395
67 1.0 1.0 0.0
68 7.686139817329531e-05 0.0 0.18173560086284543
69 0.0 0.0 0.03563800904977375
70 0.0 0.0 0.14271262130529866
71 0.0 0.0 0.004106583072100313
72 0.0 0.0 0.0
73 0.0 0.0 0.0013333333333333333
74 0.0 0.0 0.004106583072100313
75 0.0 0.0 0.04264138160689884
76 0.0 0.0 0.030907852503610552
77 0.0 0.0 0.0
